gene,pi_tissue_slope_rho,pi_tissue_slope_p,pi_tissue_young
MIR34AHG,0.39999999999999997,0.6,0.82946604
LINC01759,-0.19999999999999998,0.8,0.6823955
H6PD,0.7999999999999999,0.20000000000000007,0.55932343
SPSB1,-0.7999999999999999,0.20000000000000007,0.8830285
SLC25A33,-1.0,0.0,0.72000897
RP13-15M17.1,-1.0,0.0,0.5600693
TMEM201,-0.7999999999999999,0.20000000000000007,0.90391356
PIK3CD,-1.0,0.0,0.90952134
PIK3CD-AS2,0.7999999999999999,0.20000000000000007,0.8051314
CLSTN1,-0.7999999999999999,0.20000000000000007,0.90193176
CTNNBIP1,0.7999999999999999,0.20000000000000007,0.92697763
LZIC,0.7999999999999999,0.20000000000000007,0.64462805
NMNAT1,0.7999999999999999,0.20000000000000007,0.37204006
RBP7,0.19999999999999998,0.8,0.7502507
UBE4B,0.7999999999999999,0.20000000000000007,0.63750035
KIF1B,-0.39999999999999997,0.6,0.7538487
PGD,-1.0,0.0,0.8930471
CENPS,0.6000000000000001,0.3999999999999999,0.85001945
CORT,0.7999999999999999,0.20000000000000007,0.7426291
DFFA,-0.39999999999999997,0.6,0.8366987
PEX14,-0.7999999999999999,0.20000000000000007,0.83452946
CASZ1,-0.19999999999999998,0.8,0.92310315
RP4-734G22.3,-0.7999999999999999,0.20000000000000007,0.8646668
TARDBP,-0.7999999999999999,0.20000000000000007,0.8491295
MASP2,0.0,1.0,0.63421416
RP4-635E18.8,1.0,0.0,0.6245962
SRM,-0.39999999999999997,0.6,0.72114027
EXOSC10,-1.0,0.0,0.8410254
RP4-635E18.7,-0.7999999999999999,0.20000000000000007,0.79578036
RP4-635E18.6,-0.19999999999999998,0.8,0.35792673
MTOR,-0.7999999999999999,0.20000000000000007,0.835851
ANGPTL7,-0.6000000000000001,0.3999999999999999,0.42381194
UBIAD1,-0.19999999999999998,0.8,0.6507092
FBXO2,1.0,0.0,0.73191774
FBXO44,-0.19999999999999998,0.8,0.83472914
FBXO6,-1.0,0.0,0.48125356
MAD2L2,-1.0,0.0,0.2607407
AGTRAP,-1.0,0.0,0.7890954
MTHFR,-1.0,0.0,0.6729666
CLCN6,-1.0,0.0,0.8484501
NPPA-AS1,-0.6000000000000001,0.3999999999999999,0.5299679
NPPA,-0.39999999999999997,0.6,0.1255868
KIAA2013,-0.39999999999999997,0.6,0.44710222
PLOD1,0.7999999999999999,0.20000000000000007,0.4105613
MFN2,0.7999999999999999,0.20000000000000007,0.5470494
MIIP,-1.0,0.0,0.70741236
TNFRSF8,-1.0,0.0,0.79894185
TNFRSF1B,0.6000000000000001,0.3999999999999999,0.8618018
VPS13D,-1.0,0.0,0.8787706
SNORA59A,-1.0,0.0,0.6940118
DHRS3,-1.0,0.0,0.8707838
RP11-474O21.5,-0.19999999999999998,0.8,0.73686445
PDPN,-0.7999999999999999,0.20000000000000007,0.6963018
PRDM2,0.0,1.0,0.5676768
KAZN,0.7999999999999999,0.20000000000000007,0.87325174
TMEM51-AS1,-0.7999999999999999,0.20000000000000007,0.6438156
TMEM51,-1.0,0.0,0.8880126
EFHD2,-1.0,0.0,0.95262045
CASP9,1.0,0.0,0.6997732
DNAJC16,0.19999999999999998,0.8,0.7409367
CHCHD2P6,0.7999999999999999,0.20000000000000007,0.24616401
DDI2,-0.7999999999999999,0.20000000000000007,0.83997846
PLEKHM2,-0.7999999999999999,0.20000000000000007,0.61806697
RP11-288I21.1,-0.7999999999999999,0.20000000000000007,0.5051592
SLC25A34,0.7999999999999999,0.20000000000000007,0.6975694
FBLIM1,-0.39999999999999997,0.6,0.96343666
UQCRHL,1.0,0.0,0.4844416
RP11-169K16.8,0.19999999999999998,0.8,0.080594435
FLJ37453,1.0,0.0,0.34619537
SPEN,-1.0,0.0,0.7810562
ZBTB17,0.39999999999999997,0.6,0.5154671
HSPB7,0.7999999999999999,0.20000000000000007,0.9107233
CLCNKA,0.7999999999999999,0.20000000000000007,0.8935245
FAM131C,-1.0,0.0,0.8482349
EPHA2,0.7999999999999999,0.20000000000000007,0.93936646
ARHGEF19,-0.19999999999999998,0.8,0.9116437
ANO7L1,0.7999999999999999,0.20000000000000007,0.8489431
RSG1,0.0,1.0,0.7864253
MT1XP1,-0.7999999999999999,0.20000000000000007,0.24923842
FBXO42,-0.7999999999999999,0.20000000000000007,0.7529397
SZRD1,0.7999999999999999,0.20000000000000007,0.5547519
NECAP2,-1.0,0.0,0.91396934
LINC01772,0.7999999999999999,0.20000000000000007,0.6943797
CROCCP3,-0.39999999999999997,0.6,0.84022325
NBPF1,-0.7999999999999999,0.20000000000000007,0.74398214
CROCCP2,-0.19999999999999998,0.8,0.6394769
MST1P2,-0.19999999999999998,0.8,0.9051556
EIF1AXP1,0.39999999999999997,0.6,0.2124725
MST1L,-0.6000000000000001,0.3999999999999999,0.8248205
RP11-108M9.4,-0.39999999999999997,0.6,0.51255816
RP11-108M9.5,0.6000000000000001,0.3999999999999999,0.4249696
CROCC,-1.0,0.0,0.8164633
MFAP2,-0.19999999999999998,0.8,0.876911
ATP13A2,-0.39999999999999997,0.6,0.64142007
SDHB,0.19999999999999998,0.8,0.6951782
PADI2,-0.7999999999999999,0.20000000000000007,0.8938824
RCC2,-0.7999999999999999,0.20000000000000007,0.8732047
ARHGEF10L,-0.39999999999999997,0.6,0.92029536
IGSF21,0.7999999999999999,0.20000000000000007,0.6551396
ALDH4A1,-0.39999999999999997,0.6,0.7905251
IFFO2,-0.19999999999999998,0.8,0.9265294
RP5-1126H10.2,-1.0,0.0,0.57634413
UBR4,-1.0,0.0,0.7080647
RP1-43E13.2,1.0,0.0,0.11575778
EMC1,-0.7999999999999999,0.20000000000000007,0.8836103
MRTO4,0.39999999999999997,0.6,0.7485583
AKR7L,0.7999999999999999,0.20000000000000007,0.66345686
AKR7A3,-0.7999999999999999,0.20000000000000007,0.69122744
RP4-657E11.10,-0.39999999999999997,0.6,0.6535602
AKR7A2,0.39999999999999997,0.6,0.65937054
PQLC2,0.39999999999999997,0.6,0.66357213
CAPZB,-1.0,0.0,0.6389342
MINOS1,-0.19999999999999998,0.8,0.8702234
RP5-1056L3.3,0.39999999999999997,0.6,0.36201406
NBL1,0.19999999999999998,0.8,0.95080197
TMCO4,-1.0,0.0,0.907046
OTUD3,-0.19999999999999998,0.8,0.7799551
PLA2G2A,-0.7999999999999999,0.20000000000000007,0.77420855
PLA2G5,0.7999999999999999,0.20000000000000007,0.69307834
UBXN10-AS1,0.7999999999999999,0.20000000000000007,0.5456288
UBXN10,0.7999999999999999,0.20000000000000007,0.7860136
CAMK2N1,-1.0,0.0,0.8469241
MUL1,0.7999999999999999,0.20000000000000007,0.45319352
FAM43B,-0.7999999999999999,0.20000000000000007,0.58556867
CDA,-1.0,0.0,0.9161579
PINK1,-0.39999999999999997,0.6,0.63838136
PINK1-AS,0.7999999999999999,0.20000000000000007,0.5980967
DDOST,-0.39999999999999997,0.6,0.74735624
KIF17,0.39999999999999997,0.6,0.8470666
HP1BP3,-1.0,0.0,0.8204297
EIF4G3,-0.19999999999999998,0.8,0.67662
ECE1,-1.0,0.0,0.8393359
NBPF2P,0.39999999999999997,0.6,0.5829647
HS6ST1P1,-1.0,0.0,0.49056584
NBPF3,0.7999999999999999,0.20000000000000007,0.684655
ALPL,-1.0,0.0,0.8958707
RAP1GAP,1.0,0.0,0.91927874
USP48,-0.7999999999999999,0.20000000000000007,0.7701517
LDLRAD2,0.0,1.0,0.89870083
HSPG2,-0.7999999999999999,0.20000000000000007,0.9590559
CELA3A,-0.39999999999999997,0.6,0.08921018
LINC00339,1.0,0.0,0.6160531
CDC42,-1.0,0.0,0.7777794
RP1-224A6.9,0.7999999999999999,0.20000000000000007,0.24722317
WNT4,1.0,0.0,0.7904745
ZBTB40,-0.7999999999999999,0.20000000000000007,0.7595277
ZBTB40-IT1,-1.0,0.0,0.6017704
C1QA,-0.19999999999999998,0.8,0.64411426
C1QC,-0.19999999999999998,0.8,0.6300962
C1QB,-0.19999999999999998,0.8,0.6032359
EPHB2,-0.7999999999999999,0.20000000000000007,0.8202254
KDM1A,-0.7999999999999999,0.20000000000000007,0.8863341
LUZP1,-1.0,0.0,0.92597634
LINC01355,0.39999999999999997,0.6,0.83846825
HNRNPR,-0.7999999999999999,0.20000000000000007,0.8130206
ZNF436,-0.39999999999999997,0.6,0.8438208
ZNF436-AS1,0.7999999999999999,0.20000000000000007,0.82937646
RP5-1057J7.7,-0.39999999999999997,0.6,0.7370249
TCEA3,-0.6000000000000001,0.3999999999999999,0.900907
ASAP3,0.39999999999999997,0.6,0.9298619
ID3,-0.7999999999999999,0.20000000000000007,0.89988
RPL11,-1.0,0.0,0.85877603
ELOA,-0.39999999999999997,0.6,0.8148558
ELOA-AS1,0.39999999999999997,0.6,0.6351426
PITHD1,-0.19999999999999998,0.8,0.7563502
LYPLA2,-0.7999999999999999,0.20000000000000007,0.68537223
GALE,-0.6000000000000001,0.3999999999999999,0.76149243
HMGCL,0.39999999999999997,0.6,0.70383275
FUCA1,-0.7999999999999999,0.20000000000000007,0.7831163
PNRC2,-1.0,0.0,0.79677147
SRSF10,-1.0,0.0,0.8495866
IFNLR1,0.7999999999999999,0.20000000000000007,0.8737725
STPG1,0.0,1.0,0.8751222
NIPAL3,-0.7999999999999999,0.20000000000000007,0.88217556
RCAN3,-1.0,0.0,0.864487
SRRM1,-1.0,0.0,0.8137411
CLIC4,0.39999999999999997,0.6,0.91942996
RUNX3,1.0,0.0,0.71636635
SYF2,0.7999999999999999,0.20000000000000007,0.61247975
RSRP1,-0.39999999999999997,0.6,0.6945387
RP3-465N24.6,-0.6000000000000001,0.3999999999999999,0.28014737
RP3-465N24.5,0.39999999999999997,0.6,0.13971227
SDHDP6,-0.39999999999999997,0.6,0.274496
TMEM50A,-0.7999999999999999,0.20000000000000007,0.8228472
