gene,pi_tumor,pi_patient,pi_residual
AURKA,0.3194186877901823,0.4395358481691745,0.24104546404064323
CDC6,0.3188017128533032,0.4716825149051508,0.20951577224154602
PAQR4,0.3160481732706844,0.504285478846212,0.17966634788310362
RNASEH2A,0.3154097120690954,0.42496045570538427,0.25962983222552033
NEK2,0.3143761400902114,0.48108255276035455,0.204541307149434
CCNB2,0.31414190804260217,0.4991957097671383,0.18666238219025952
NUSAP1,0.3137351647552724,0.4508680747928197,0.23539676045190785
NUF2,0.3119084854685061,0.4713999487519645,0.21669156577952942
BUB1B,0.3115198972136619,0.46959195765880296,0.21888814512753513
CDKN3,0.3100242394458741,0.5053747773513981,0.18460098320272778
NCAPG,0.3094084838505601,0.496476278654968,0.1941152374944719
EZH2,0.3093994454035412,0.49339038883892977,0.19721016575752903
C1QTNF6,0.30803290344888984,0.4001081829311687,0.2918589136199415
HMMR,0.3057206835719956,0.46675017463740076,0.2275291417906036
MKI67,0.30565496430706635,0.530726258339943,0.16361877735299066
HSPB6,0.305380491836734,0.41545272526978433,0.2791667828934816
CCL14,0.30508360674302754,0.40403864871084205,0.29087774454613047
C1QTNF7,0.30425810399975584,0.46298148411302414,0.2327604118872201
MYBL2,0.3027669676795959,0.5337268871160963,0.16350614520430778
CDC20,0.3015675703896396,0.4866355822733231,0.21179684733703733
ORC6,0.3009007988635305,0.47986468208603644,0.2192345190504331
NCAPH,0.3007576149169056,0.5123100835574496,0.18693230152564486
ANLN,0.3004309466399166,0.5171570695523611,0.18241198380772233
FEN1,0.29940257046018115,0.4311037617092167,0.26949366783060213
MRGBP,0.298910824279247,0.36284260785365263,0.3382465678671004
GSTM5,0.2972080315665746,0.518443284752736,0.18434868368068938
CNTFR,0.2969587752564583,0.43194462669906375,0.2710965980444779
CDKN2A,0.29617413156003963,0.43716679981594714,0.26665906862401323
B4GALT1-AS1,0.2958298357995417,0.394891761569583,0.30927840263087525
PBK,0.29563393682309136,0.4843613491203988,0.22000471405650984
KIF2C,0.295530280723488,0.471241605001331,0.23322811427518095
NDC80,0.29544750790425434,0.4636598612464282,0.24089263084931747
GPM6A,0.29542278371021874,0.4495965702566286,0.2549806460331527
MND1,0.2951008166775511,0.45828279517346,0.2466163881489889
CDCA8,0.2948560888435964,0.5020966561295475,0.2030472550268562
RECQL4,0.293351459505747,0.42898464569687317,0.27766389479737985
AURKB,0.29330610281991076,0.5141120553726696,0.19258184180741966
CEP55,0.29279672122127454,0.5431907454451796,0.16401253333354585
CCNB1,0.2921155805636196,0.45082291624018506,0.25706150319619536
HGH1,0.28985795001821824,0.373286106158258,0.33685594382352374
ALG3,0.2891361786849698,0.3836843261075387,0.3271794952074914
CXCL12,0.28893522212766404,0.4698188563326374,0.24124592153969857
C7,0.2883384793294137,0.45232631925649325,0.25933520141409305
TYMS,0.287176334553452,0.44892536694624885,0.26389829850029917
KIFC1,0.28696419461022327,0.5123356290710785,0.20070017631869816
FLAD1,0.2867374064984828,0.3715897596854162,0.34167283381610103
CENPM,0.28627487193677165,0.5036260326786025,0.2100990953846258
RERGL,0.2851366346142093,0.4316020540325664,0.2832613113532243
DTL,0.2850677425586945,0.5023259367636758,0.2126063206776297
SDPR,0.28341186777127203,0.43965988842036596,0.276928243808362
TGFBR3,0.2822363313864789,0.4681033470452399,0.24966032156828108
PLK1,0.2814232885345718,0.5391131973973047,0.1794635140681235
CKS2,0.28119226727196167,0.45168690508790066,0.26712082764013767
CCNA2,0.28115195728548714,0.5336140839663542,0.18523395874815865
DPT,0.28075874398989487,0.4893717046312891,0.22986955137881607
MAMDC2,0.2790084461106903,0.5109793727011345,0.2100121811881752
FANCI,0.2778895709379325,0.5290139031664335,0.19309652589563409
KNTC1,0.2766420663990631,0.4996955573897459,0.223662376211191
SPC25,0.27646047423884884,0.5304756745904168,0.19306385117073435
BOP1,0.2762289154254205,0.4273858248537298,0.2963852597208498
TCEAL2,0.2746607482894264,0.5180472183946899,0.20729203331588375
TIMELESS,0.274138098472048,0.3698624205972361,0.3559994809307159
CSRNP1,0.2734841746412324,0.4402576301872114,0.28625819517155615
CHRDL1,0.27123577336677196,0.512473284698518,0.21629094193471
HLF,0.27101363856154337,0.4656554734939655,0.2633308879444911
MCM2,0.2700163400310768,0.44322575676874576,0.28675790320017747
RRM2,0.2699696712417294,0.5460751091763963,0.1839552195818742
KNOP1,0.2699567428583584,0.49653002576666766,0.23351323137497396
SEM1,0.26978712065409516,0.40594038309124286,0.32427249625466203
EXOSC5,0.26849094617011016,0.3868104980922237,0.34469855573766617
TK1,0.2682215631593647,0.463952149210151,0.2678262876304843
MIR22HG,0.26707166326555004,0.47368660650911987,0.2592417302253301
RMI2,0.266990699110819,0.4420579096695207,0.2909513912196603
MAD2L1,0.26497055903936895,0.4940694441127782,0.24095999684785288
PLAC9,0.26481295376721453,0.3733377557878287,0.36184929044495684
ARHGEF39,0.2644105989527169,0.5047942696873112,0.2307951313599719
PAFAH1B3,0.2643461425741699,0.4290151533971046,0.30663870402872545
POP7,0.2638137945092021,0.4480229374050677,0.2881632680857302
POLE2,0.26304294578808035,0.5080312007026663,0.22892585350925343
HM13,0.2615858060437517,0.42293530458577966,0.31547888937046864
DONSON,0.26144576479208687,0.44074318440089894,0.2978110508070142
GAPDH,0.26132061670032686,0.4639589738093255,0.27472040949034765
BOLA2B,0.2610950911115638,0.453158956223207,0.2857459526652292
ASPA,0.2606468659757385,0.5502220727023547,0.1891310613219068
PDE2A,0.2604522635322258,0.42983462945092893,0.3097131070168453
RAD51AP1,0.2602183905237818,0.4918419589336964,0.2479396505425218
UBE2S,0.2593868838359443,0.4724293115507117,0.26818380461334396
ZWINT,0.2590947246715557,0.4424881733143979,0.2984171020140465
GINS1,0.2587741417448702,0.4425567394911376,0.2986691187639922
ECE2,0.2586789551263782,0.37988327203915434,0.3614377728344675
RFC2,0.25855688856338366,0.4400873472796005,0.30135576415701576
CCNE1,0.25819158842694856,0.457194824005109,0.28461358756794247
TRIP13,0.25687477916867685,0.5448577276911919,0.19826749314013117
LAGE3,0.25624625193099965,0.4441240791779457,0.2996296688910547
TTYH3,0.2556758658614068,0.438039549885209,0.30628458425338423
SHMT2,0.255527287240495,0.48216820876513905,0.26230450399436595
TUBB3,0.25548668645250894,0.5164536362887628,0.22805967725872825
CHEK1,0.25478196864714625,0.45689264773425176,0.288325383618602
RAD51,0.2541098295219422,0.5372915438801512,0.20859862659790657
PGM5,0.2531050981509713,0.5428572114444099,0.20403769040461872
C2orf40,0.25228132238546985,0.545420248675118,0.20229842893941222
CA4,0.25225930854371587,0.45666799698161226,0.2910726944746719
LIMS2,0.251138623419821,0.3999473278402894,0.3489140487398896
DDX39A,0.2509428281177048,0.4573779661169176,0.29167920576537765
MFAP4,0.25078878986709574,0.5037229137627799,0.2454882963701244
SLC52A2,0.2503192004565044,0.515972223208856,0.23370857633463957
FBLN5,0.2503056050450862,0.46194708036629745,0.28774731458861635
TRIB3,0.25005715909330584,0.4278059735072985,0.3221368673993957
CCDC69,0.24944709565319861,0.4223237932379179,0.3282291111088835
ATIC,0.24941785372171588,0.4159400929608634,0.33464205331742075
MYZAP,0.24910156043408954,0.5070995320401828,0.24379890752572766
MIF,0.24907219706680395,0.49813302125235875,0.2527947816808373
PHYHD1,0.24806750652438694,0.4797847018014678,0.2721477916741452
SFRP1,0.2468759312479082,0.49374502215884813,0.2593790465932437
CDK5,0.24619250301671095,0.4304546760706989,0.3233528209125901
STIL,0.24618138481623567,0.515363936375365,0.2384546788083993
PLOD3,0.24576175974183148,0.3786507872239807,0.3755874530341878
RFC4,0.2457338071675907,0.43556716824332237,0.31869902458908694
TOMM40,0.24403369134489455,0.44999439561293747,0.305971913042168
ATAD2,0.2438169995502728,0.5274696224958929,0.22871337795383428
PPP1R14BP3,0.24323235946410132,0.5532350071449972,0.20353263339090144
MAGOHB,0.2426313133195176,0.42808195987777586,0.32928672680270654
DTYMK,0.242078835206503,0.4163690921524279,0.34155207264106907
KIF11,0.24204160552343948,0.5217758521436707,0.23618254233288985
DDX56,0.24198266548868172,0.4093847821648896,0.34863255234642876
SAC3D1,0.24131758213103072,0.48710863402243443,0.27157378384653486
KAT2B,0.241310327712413,0.45517501835025587,0.3035146539373311
P3H1,0.24020991752261528,0.43549648129244106,0.32429360118494366
PPIA,0.23983658786355128,0.44749281126858553,0.31267060086786325
MRPL17,0.2398328987704946,0.5184261731113002,0.24174092811820516
TACC3,0.2394158209160182,0.5114633972260502,0.24912078185793166
