"","donor","tissue","age_mid","Residuals"
"CNRIP1",0.00676573400832506,0.926468860596948,0.000784556302387972,0.0659808490923394
"MAP7D1",0.0350591357084327,0.367810185685372,0.00559191848139456,0.591538760124801
"OSMR",0.0532715813827086,0.879294009002213,0.000897415065186993,0.0665369945498916
"CTC-241N9.1",0.0404726836381824,0.775488193202683,0.0018334233755213,0.182205699783613
"RP11-196G18.22",0.0381554695191222,0.626155427583501,0.000106543163520297,0.335582559733857
"NID1",0.0321591948381488,0.883143367362263,0.00248598262737066,0.0822114551722175
"TET3",0.00599436694756959,0.858102397145007,0.000495655229406873,0.135407580678017
"MTND4P12",0.33237944115038,0.348321881416638,0.00251765657389359,0.316781020859088
"FLNB",0.011779435625138,0.921777433861954,0.000325248770565263,0.0661178817423428
"THG1L",0.0159912353339047,0.739420333747497,0.000446843337602976,0.244141587580995
"AMT",0.102798069555972,0.693216586234734,0.0172743298315466,0.186711014377747
"ZNF692",0.134954026004552,0.597891097260914,0.000684293367141245,0.266470583367393
"HLA-H",0.132244819755651,0.721614057522287,0.00473469878268531,0.141406423939377
"MXD1",0.0151627504890274,0.888135105127624,0.00107392975022309,0.095628214633126
"NPL",0.0200607177204111,0.788077850001421,0.000419081984890731,0.191442350293277
"LYAR",0.0600732417571882,0.241786164649447,0.00120944885804101,0.696931144735323
"PBX2",0.00991585756989645,0.738891614479314,0.000371577699591209,0.250820950251198
"FGF10",0.0161438656700143,0.781163463505397,0.00236727807758549,0.200325392747003
"DYSF",0.00431123220699911,0.768046179533558,0.000994259814055452,0.226648328445388
"BCL10",0.00154803557360829,0.689580500872497,0.000929917034016984,0.307941546519878
"GUF1",0.0223043845989302,0.810353272407706,4.25159640231353e-05,0.167299827029341
"TMEM144",0.0217147012230087,0.746080199730993,0.00184003042396069,0.230365068622037
"RPL22L1",0.0269796156567843,0.747411525223589,0.000118122581489884,0.225490736538136
"RP1-40E16.11",0.026443894357041,0.563742575394617,0.000699301260824344,0.409114228987517
"FRZB",0.00702773431300811,0.813017587282826,0.0090974050776586,0.170857273326507
"SEPSECS",0.0159158125833998,0.803637912017255,0.000117959795197988,0.180328315604147
"UBE2B",0.0402411022728048,0.232981706931771,9.0874411071884e-06,0.726768103354317
"CTD-2228K2.7",0.101881979427584,0.79394705837534,0.00103146507799217,0.103139497119084
"KANSL1L",0.0185185350989831,0.828735922304862,0.00049830747067819,0.152247235125476
