"","Samplename","id","age","type","stage","tissues","RIN","batch"
"X16002_Skin_of_back","X16002_Skin_of_back","X16002",3,"Juvenile",1,"Skin_of_back","8","batch2"
"X16002_Thyroid_gland","X16002_Thyroid_gland","X16002",3,"Juvenile",1,"Thyroid_gland","7.5","batch2"
"X16068_Supramarginal_gyrus","X16068_Supramarginal_gyrus","X16068",3,"Juvenile",1,"Supramarginal_gyrus","7.6","batch2"
"X16068_Superior_temporal_gyrus","X16068_Superior_temporal_gyrus","X16068",3,"Juvenile",1,"Superior_temporal_gyrus","7.2","batch2"
"X16068_Hippocampus","X16068_Hippocampus","X16068",3,"Juvenile",1,"Hippocampus","7.3","batch2"
"X16068_Hypothalamus","X16068_Hypothalamus","X16068",3,"Juvenile",1,"Hypothalamus","7.8","batch2"
"X16068_Pituitary","X16068_Pituitary","X16068",3,"Juvenile",1,"Pituitary","8.6","batch2"
"X16068_Frontal_pole","X16068_Frontal_pole","X16068",3,"Juvenile",1,"Frontal_pole","7.9","batch2"
"X16068_Skin_of_back","X16068_Skin_of_back","X16068",3,"Juvenile",1,"Skin_of_back","8","batch2"
"X16068_Lung","X16068_Lung","X16068",3,"Juvenile",1,"Lung","7.8","batch2"
"X16068_Abdominal_aorta","X16068_Abdominal_aorta","X16068",3,"Juvenile",1,"Abdominal_aorta","7.6","batch2"
"X16068_Liver","X16068_Liver","X16068",3,"Juvenile",1,"Liver","7.5","batch2"
"X16068_Arteria_cruralis","X16068_Arteria_cruralis","X16068",3,"Juvenile",1,"Arteria_cruralis","7.4","batch2"
"X16068_Femoral_vein","X16068_Femoral_vein","X16068",3,"Juvenile",1,"Femoral_vein","7.4","batch2"
"X16068_Ileocecum","X16068_Ileocecum","X16068",3,"Juvenile",1,"Ileocecum","7.3","batch2"
"X16068_Arteria_carotis","X16068_Arteria_carotis","X16068",3,"Juvenile",1,"Arteria_carotis","8.2","batch2"
"X16068_Muscle","X16068_Muscle","X16068",3,"Juvenile",1,"Muscle","8","batch2"
"X16068_Ovary","X16068_Ovary","X16068",3,"Juvenile",1,"Ovary","6.4","batch2"
"X16068_Cecum","X16068_Cecum","X16068",3,"Juvenile",1,"Cecum","8.2","batch2"
"X16068_Spleen","X16068_Spleen","X16068",3,"Juvenile",1,"Spleen","7.7","batch2"
"X16068_Kidney","X16068_Kidney","X16068",3,"Juvenile",1,"Kidney","8","batch2"
"X16068_Adrenal_gland","X16068_Adrenal_gland","X16068",3,"Juvenile",1,"Adrenal_gland","7.9","batch2"
"X16068_Duodenum","X16068_Duodenum","X16068",3,"Juvenile",1,"Duodenum","7.5","batch2"
"X16068_Fallopian_tube","X16068_Fallopian_tube","X16068",3,"Juvenile",1,"Fallopian_tube","8.7","batch2"
"X16068_Stomach","X16068_Stomach","X16068",3,"Juvenile",1,"Stomach","7.2","batch2"
"X16068_Inferior_vena_cava","X16068_Inferior_vena_cava","X16068",3,"Juvenile",1,"Inferior_vena_cava","7.4","batch2"
"X16068_Heart","X16068_Heart","X16068",3,"Juvenile",1,"Heart","7.5","batch2"
"X16068_Thymus","X16068_Thymus","X16068",3,"Juvenile",1,"Thymus","8.5","batch2"
"X16068_Facial_skin","X16068_Facial_skin","X16068",3,"Juvenile",1,"Facial_skin","7.1","batch2"
"X16068_Pancreas","X16068_Pancreas","X16068",3,"Juvenile",1,"Pancreas","6.1","batch2"
"X16068_Adipose","X16068_Adipose","X16068",3,"Juvenile",1,"Adipose","6.4","batch2"
"X16068_Aortic_arch","X16068_Aortic_arch","X16068",3,"Juvenile",1,"Aortic_arch","7.7","batch2"
"X16068_Uterus","X16068_Uterus","X16068",3,"Juvenile",1,"Uterus","7.1","batch2"
"X16086_Supramarginal_gyrus","X16086_Supramarginal_gyrus","X16086",3,"Juvenile",1,"Supramarginal_gyrus","7.1","batch2"
"X16086_Superior_temporal_gyrus","X16086_Superior_temporal_gyrus","X16086",3,"Juvenile",1,"Superior_temporal_gyrus","7.3","batch2"
"X16086_Hippocampus","X16086_Hippocampus","X16086",3,"Juvenile",1,"Hippocampus","6.9","batch2"
"X16086_Hypothalamus","X16086_Hypothalamus","X16086",3,"Juvenile",1,"Hypothalamus","6.8","batch2"
"X16086_Pituitary","X16086_Pituitary","X16086",3,"Juvenile",1,"Pituitary","8.6","batch2"
"X16086_Frontal_pole","X16086_Frontal_pole","X16086",3,"Juvenile",1,"Frontal_pole","7.5","batch2"
"X16086_Skin_of_back","X16086_Skin_of_back","X16086",3,"Juvenile",1,"Skin_of_back","7.4","batch2"
"X16086_Lung","X16086_Lung","X16086",3,"Juvenile",1,"Lung","8.6","batch2"
"X16086_Abdominal_aorta","X16086_Abdominal_aorta","X16086",3,"Juvenile",1,"Abdominal_aorta","8.6","batch2"
"X16086_Liver","X16086_Liver","X16086",3,"Juvenile",1,"Liver","7.6","batch2"
"X16086_Femoral_vein","X16086_Femoral_vein","X16086",3,"Juvenile",1,"Femoral_vein","7.5","batch2"
"X16086_Ileocecum","X16086_Ileocecum","X16086",3,"Juvenile",1,"Ileocecum","7.2","batch2"
"X16086_Thyroid_gland","X16086_Thyroid_gland","X16086",3,"Juvenile",1,"Thyroid_gland","7.8","batch2"
"X16086_Muscle","X16086_Muscle","X16086",3,"Juvenile",1,"Muscle","8.3","batch2"
"X16086_Ovary","X16086_Ovary","X16086",3,"Juvenile",1,"Ovary","8","batch2"
"X16086_Cecum","X16086_Cecum","X16086",3,"Juvenile",1,"Cecum","7","batch2"
"X16086_Spleen","X16086_Spleen","X16086",3,"Juvenile",1,"Spleen","8.1","batch2"
