SRR9616398,LIB12165873.1,Hippocampus_18Mo_fasted_8_A428-234
SRR9616381,LIB12165874.1,Hippocampus_21Mo_fasted_1_A429-120
SRR9616382,LIB12165875.1,Hippocampus_21Mo_fasted_2_A430-122
SRR9616395,LIB12165876.1,Hippocampus_21Mo_fasted_3_A431-140
SRR9616394,LIB12165877.1,Hippocampus_21Mo_fasted_4_A432-141
SRR9616393,LIB12165878.1,Hippocampus_21Mo_fasted_5_A433-143
SRR9616392,LIB12165879.1,Hippocampus_21Mo_fasted_6_A434-148
SRR9616376,LIB12165880.1,Hippocampus_21Mo_fasted_7_A435-157
SRR9616375,LIB12165881.1,Hippocampus_21Mo_fasted_8_A436-160
SRR9616379,LIB12165892.1,Hippocampus_27Mo_fasted_4_A448-362
SRR9616378,LIB12165893.1,Hippocampus_27Mo_fasted_5_A449-363
SRR9616380,LIB12165895.1,Hippocampus_27Mo_fasted_7_A451-365
SRR9616383,LIB12165896.1,Hippocampus_27Mo_fasted_8_A452-368
SRR9616377,LIB12165851.1,Hippocampus_9Mo_fasted_2_A406-277
SRR9616389,LIB12165852.1,Hippocampus_9Mo_fasted_3_A407-278
SRR9616388,LIB12165853.1,Hippocampus_9Mo_fasted_4_A408-279
SRR9616391,LIB12165854.1,Hippocampus_9Mo_fasted_5_A409-280
SRR9616390,LIB12165855.1,Hippocampus_9Mo_fasted_6_A410-281
SRR9616385,LIB12165856.1,Hippocampus_9Mo_fasted_7_A411-282
SRR9616384,LIB12165857.1,Hippocampus_9Mo_fasted_8_A412-283
