tissue,category,label,tf,target,n_all,rho_all,p_all,tf_mean_log2tpm,tgt_mean_log2tpm,rho_20-29,p_20-29,n_20-29,rho_30-39,p_30-39,n_30-39,rho_40-49,p_40-49,n_40-49,rho_50-59,p_50-59,n_50-59,rho_60-69,p_60-69,n_60-69,rho_70-79,p_70-79,n_70-79,rho_male,p_male,n_male,rho_female,p_female,n_female
Colon - Sigmoid,production,RUNX2→SPP1,RUNX2,SPP1,364,0.3846223706446319,2.7941665377683266e-14,2.2711533113167834,5.56748366028398,0.3103132161955691,0.07407862870711797,34.0,0.422475106685633,0.008234317753447129,38.0,0.2847263724067276,0.04077222174655887,52.0,0.4013937746964586,1.6671179131393763e-05,108,0.3734872425412378,2.4490225347976903e-05,121,,,,0.3292863877605033,2.2568517612234393e-07,236.0,0.4828485020176959,7.826542546161707e-09,128.0
Colon - Sigmoid,production,FOXO1→PCK1,FOXO1,PCK1,364,-0.05305760698723616,0.3127329294294493,4.711697932128068,1.6364550788344427,-0.03712757830404889,0.8348673196289484,34.0,-0.07123317649633439,0.6708491801627031,38.0,0.07094681123537948,0.617216822484407,52.0,0.07523829031252445,0.4389906725846995,108,-0.24766162835325362,0.0061663178031993145,121,,,,-0.006787435142430316,0.9173930464057789,236.0,-0.14768685819638536,0.09618621227676251,128.0
Colon - Sigmoid,production,HNF4A→ALB,HNF4A,ALB,364,0.036080441037568245,0.4925701288306551,0.7790368769783527,1.0776598773497557,0.01451933431730516,0.9350451213872776,34.0,0.033720171463379106,0.8407155014655304,38.0,0.12262499745724237,0.3864677509947093,52.0,0.10291904045586427,0.2891728027201039,108,0.010524657794424885,0.9087838236726788,121,,,,0.027478941602724745,0.6745019219658479,236.0,0.04425958865712109,0.6198442208859061,128.0
Colon - Sigmoid,detection,RELA→ICAM1,RELA,ICAM1,364,0.44710170503453994,2.731161320374632e-19,6.335313334569826,4.174789338976472,0.5532467532467532,0.0006895720100078993,34.0,0.4121895174526754,0.01012636684483151,38.0,0.5197344557799716,7.86069619470225e-05,52.0,0.3867034084613949,3.565150507296379e-05,108,0.43959639478776336,4.5440434686526923e-07,121,,,,0.4300437126940723,4.840840450214161e-12,236.0,0.4815651984824121,8.68516730864473e-09,128.0
Colon - Sigmoid,detection,RELA→IL6,RELA,IL6,364,0.4734937144952897,9.727935806927448e-22,6.335313334569826,3.39499601492515,0.5721925133689839,0.00040665759509132094,34.0,0.4638363059415691,0.0033554459219068545,38.0,0.6404559135735636,3.165272416802763e-07,52.0,0.3531658985636349,0.00017749908664900315,108,0.4074908929566182,3.5036858937923997e-06,121,,,,0.49858193744842555,3.1027731238971357e-16,236.0,0.43073797755424936,3.8710371178749895e-07,128.0
Colon - Sigmoid,detection,RELA→CCL2,RELA,CCL2,364,0.32326580614399286,2.672044911535716e-10,6.335313334569826,5.770249696878286,0.5343009931245225,0.0011342647854791167,34.0,0.14717146296093664,0.3779201777591853,38.0,0.4834475252429919,0.0002828021896595546,52.0,0.27497278900301153,0.003975671884883217,108,0.2500753626737101,0.0056683634174143575,121,,,,0.32774911579485105,2.5877947078338967e-07,236.0,0.32437489807087216,0.00018741241000037282,128.0
Colon - Sigmoid,detection,RELA→NFKBIA,RELA,NFKBIA,364,0.41341103501120585,1.850650348045773e-16,6.335313334569826,7.45110486627935,0.4612681436210848,0.006037220921423776,34.0,0.5504978662873399,0.00034228164482116353,38.0,0.3605976520811099,0.008637061094102269,52.0,0.24208676101422835,0.011595183311263031,108,0.5395603893131432,1.7050964986247045e-10,121,,,,0.38213060709601954,1.2695244375859734e-09,236.0,0.4689278872913784,2.3668864082657956e-08,128.0
Colon - Sigmoid,detection,NFKB1→TNF,NFKB1,TNF,364,0.2555080076722379,7.80201068493614e-07,4.670734252248492,0.7367627392522991,0.27058823529411763,0.12166891237616731,34.0,-0.10078240426531065,0.5471427500291878,38.0,0.2049902884076686,0.14489457700051434,52.0,0.3248417352239699,0.00060338748236874,108,0.311248251406589,0.0005110033476690851,121,,,,0.251761456256513,9.219381264248491e-05,236.0,0.2493615816020192,0.0045324414486801815,128.0
Colon - Sigmoid,detection,HIF1A→VEGFA,HIF1A,VEGFA,364,0.43041322933009013,7.554007463138066e-18,5.300739748137338,5.446991294294923,0.5343009931245225,0.0011342647854791167,34.0,0.3692964219280009,0.022502580176602737,38.0,0.6376675488773157,3.694487365272335e-07,52.0,0.3899386947308366,3.0249222254893574e-05,108,0.45713472813551054,1.3581471259237788e-07,121,,,,0.42896595987227254,5.541761947867685e-12,236.0,0.46688583503050884,2.7726471027835426e-08,128.0
Colon - Sigmoid,detection,HIF1A→SLC2A1,HIF1A,SLC2A1,364,0.44678605876730876,2.9131426080316252e-19,5.300739748137338,3.747312571648713,0.14163483575248279,0.42428166806592793,34.0,0.41678520625889043,0.009239587239946298,38.0,0.5261472790279814,6.173246813654979e-05,52.0,0.42574160743230083,4.358860914534025e-06,108,0.4787340340243365,2.788113281056927e-08,121,,,,0.4123717763986384,4.1885455806622625e-11,236.0,0.5196380543718844,3.2726890407353836e-10,128.0
Colon - Sigmoid,detection,TP53→CDKN1A,TP53,CDKN1A,364,0.27671667950422196,8.032101718859503e-08,3.9777126141956876,6.643678991349189,0.07410236822001527,0.6770449801519691,34.0,-0.004705367408695286,0.9776326352414894,38.0,0.16589468295525037,0.23984721821753874,52.0,0.4288582596181697,3.643124705715743e-06,108,0.3110734015510377,0.0005149319194829442,121,,,,0.2553891900555375,7.231372963369725e-05,236.0,0.30826983770212874,0.0004000054569942692,128.0
Colon - Sigmoid,detection,TP53→MDM2,TP53,MDM2,364,0.11288499687791262,0.031303940301602856,3.9777126141956876,3.156625364835446,0.062490450725744835,0.7255186385206764,34.0,0.3140559177431504,0.054832936135737066,38.0,-0.12495197450019485,0.37745018578078326,52.0,0.21659652410127933,0.02435112712676102,108,0.266845279325403,0.003089658614224978,121,,,,0.13483616912527951,0.03846583281355511,236.0,0.05567111780369703,0.5325274648854643,128.0
Colon - Sigmoid,detection,ATF4→DDIT3,ATF4,DDIT3,364,0.3866672389469168,1.9878814535657136e-14,9.65614693243425,5.966999215084118,0.39587471352177234,0.02047263233682381,34.0,0.5294890031732138,0.0006299786032319005,38.0,0.41116707931358315,0.0024613773912699815,52.0,0.2187655555958713,0.022926906628933357,108,0.40560698281731067,3.924541569266721e-06,121,,,,0.3533319791023833,2.4024247964058956e-08,236.0,0.4444918133637355,1.471421675502996e-07,128.0
Colon - Sigmoid,detection,XBP1→DNAJB1,XBP1,DNAJB1,364,0.00222019740174976,0.9663288786748302,6.197960389839424,6.3587132181440085,-0.1657754010695187,0.3487700833124503,34.0,-0.20691541744173325,0.21260088764121304,38.0,-0.07777682916417655,0.5836547260165947,52.0,0.10782436384768546,0.2666774067526459,108,0.11434464958963296,0.2117251549250257,121,,,,0.006439131808200001,0.921618153935863,236.0,0.014878227430873466,0.8676172103867191,128.0
Colon - Sigmoid,detection,HSF1→HSPA1A,HSF1,HSPA1A,364,0.515185329891995,4.5771337527760404e-26,6.89085673892891,7.228757977485657,0.3738731856378915,0.0293929944216658,34.0,0.42378816063026586,0.008016126869590249,38.0,0.3989584222658584,0.0033928473415101835,52.0,0.41781724038673945,6.823177118126138e-06,108,0.6574819552089384,2.5801550379243374e-16,121,,,,0.4759317693453172,9.60243724376265e-15,236.0,0.5732996090281017,1.5230210789224193e-12,128.0
Colon - Sigmoid,detection,STAT1→IRF1,STAT1,IRF1,364,0.3283291910340489,1.3497776188304253e-10,5.371855370290986,4.4018954791865506,0.25836516424751715,0.1401194236483141,34.0,0.08064339643287012,0.6303046131506922,38.0,0.2847263724067276,0.04077222174655887,52.0,0.375619840620077,6.179626680545917e-05,108,0.34708960658458526,9.606318821751599e-05,121,,,,0.33817228266440036,1.0082123236110271e-07,236.0,0.33197997138905555,0.00012906482139140134,128.0
Colon - Sigmoid,detection,NFE2L2→NQO1,NFE2L2,NQO1,364,0.08012839493148556,0.12702263644795306,6.055405065253541,4.072669420268509,0.10955764414279957,0.5373721214490614,34.0,-0.22461151236594437,0.1751810884923514,38.0,-0.11013403910185263,0.4370108764446028,52.0,0.19683899148999354,0.04116844718201113,108,0.12756106070070697,0.163224082708373,121,,,,0.031917506252726484,0.6256582597009038,236.0,0.177132286986074,0.0454775915554138,128.0
Colon - Sigmoid,detection,NFE2L2→HMOX1,NFE2L2,HMOX1,364,0.2744875774437368,1.0295452031700922e-07,6.055405065253541,4.241245785912315,0.34300993124522533,0.047035999664043954,34.0,0.09005854365944697,0.5907788420828493,38.0,0.3901647741825322,0.004244380637060759,52.0,0.29198700543980494,0.0021678458726054205,108,0.27914719794696036,0.0019311265824844238,121,,,,0.30132094441535157,2.423850355799358e-06,236.0,0.25786367765847173,0.003296544281345183,128.0
Colon - Sigmoid,housekeeping,ACTB↔GAPDH,ACTB,GAPDH,364,0.5655079926166633,3.755405938751457e-32,13.211346225424128,10.096844856555645,0.3641503709998816,0.03424078652793722,34.0,0.6372291529875246,1.692063267425118e-05,38.0,0.5872961666524373,4.722502470968252e-06,52.0,0.5776623414004013,5.937573090805839e-11,108,0.6232151839146434,2.2807041563714865e-14,121,,,,0.5240501897169194,4.767959364771547e-18,236.0,0.6277235258268216,2.1986963700389353e-15,128.0
Colon - Sigmoid,housekeeping,RPL13A↔RPS18,RPL13A,RPS18,364,0.7936962937865837,3.769282787739568e-80,11.468882199172135,11.372459912038112,0.7332314744079449,8.131876675724412e-07,34.0,0.7864098916730496,4.857860537405957e-09,38.0,0.8416221992727508,5.54832045035796e-15,52.0,0.7648626569291047,5.722620409678866e-22,108,0.7712781361520484,4.221832764462135e-25,121,,,,0.7812112202792194,8.70095896495655e-50,236.0,0.8276320853114124,2.1244991586064276e-33,128.0
Colon - Sigmoid,housekeeping,HPRT1↔TBP,HPRT1,TBP,364,0.1005956602729999,0.055173400748200575,4.2087381318375305,4.287120623247964,-0.07808679797773374,0.6606899640464853,34.0,0.1526592252133946,0.3601928680952414,38.0,-0.14728169227885068,0.2974389719437356,52.0,0.13687321817227757,0.15779281994506747,108,0.15593536663251087,0.08764586550815605,121,,,,0.12877228219956188,0.04815838155407286,236.0,0.032228760105497474,0.7179920022914605,128.0
Colon - Sigmoid,housekeeping,B2M↔PPIA,B2M,PPIA,364,0.38581782005945325,2.2905305139389917e-14,9.935417542090782,7.658434894058731,0.42368220015278835,0.012527289305896493,34.0,0.3458992181136232,0.03340420041366258,38.0,0.1546145308631435,0.2737640381891223,52.0,0.43592790982933044,2.409239619717918e-06,108,0.4698340977661531,5.4250811503741144e-08,121,,,,0.35055312400948063,3.1427756379271824e-08,236.0,0.4454792560819379,1.3704362473321462e-07,128.0
Colon - Sigmoid,hormone,ESR1→PGR,ESR1,PGR,364,0.2742208952238077,1.060424840817078e-07,0.6570471164739722,2.5434882105379315,0.12330022918258213,0.48722849937433466,34.0,0.17452675347412192,0.29464508337377093,38.0,0.3286946128233586,0.017352423659607704,52.0,0.31288881267445956,0.0009772663266589788,108,0.3135827015021118,0.00046112845203980375,121,,,,0.25268440115572843,8.669896090675118e-05,236.0,0.2992739679976739,0.0005998443382776203,128.0
Colon - Sigmoid,hormone,AR→KLK3,AR,KLK3,364,-0.16520493988600796,0.0015624449612528437,2.0585745429763427,0.48605812086652106,-0.18910452322738386,0.2841169946542129,34.0,-0.43170143109338716,0.006803273873223057,38.0,-0.442781567651198,0.0010124414341943367,52.0,0.06443496749808494,0.5076348837594941,108,-0.19301660410291396,0.03391062698522869,121,,,,-0.15212523826236868,0.0193764140533701,236.0,-0.1781856163854552,0.04418854403458188,128.0
Colon - Sigmoid,hormone,AR→SMAD3,AR,SMAD3,364,0.16530406754386512,0.001552148990196016,2.0585745429763427,4.521643312422784,0.018183207326350277,0.9187027942297217,34.0,0.3285917496443812,0.04398552091048066,38.0,0.3194382191075769,0.02097979623090045,52.0,0.09576502699947456,0.324178760543434,108,0.19555070824328566,0.03159258936566291,121,,,,0.13785901248128796,0.034285101867405895,236.0,0.22625751074443204,0.01022595146928008,128.0
Esophagus - Gastroesophageal Junction,production,SMAD3→COL1A1,SMAD3,COL1A1,363,0.36034792486808087,1.4294454335446418e-12,4.598741092629341,7.378800129430681,0.22447163515016688,0.23305287851340695,30.0,0.45755347593582885,0.007421941308041652,33.0,0.5225550568834152,6.773852429848687e-06,66.0,0.16873049380989663,0.05130798397451335,134,0.4842262529520326,1.3276139757392156e-06,90,,,,0.3709769481697867,2.410059715860878e-09,243.0,0.33477382938766587,0.0001859973071800428,120.0
Esophagus - Gastroesophageal Junction,production,SMAD3→COL3A1,SMAD3,COL3A1,363,0.14910751436066758,0.004413149122615897,4.598741092629341,8.118720815201437,0.07898542712130928,0.6782242518358699,30.0,0.37753823145100185,0.030307707031143917,33.0,0.3135822313314668,0.010350279597955848,66.0,-0.007124794884711492,0.9348822458326282,134,0.29299211010706283,0.005070898955868444,90,,,,0.16622474269660417,0.009434046969776568,243.0,0.1268284721657446,0.16747111594529981,120.0
